,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt
51,19488762,2013-01-01,Military (Syria),"Government,Military",Syria,Reject,120,-4.0,Syria,,Syria,18035047,1,Al Arabiya,,,,Turkey,39.9167,32.8333,2013-01-01
181,19488946,2013-01-01,Other Authorities / Officials (Syria),Government,Syria,Make statement,10,0.0,Syria,,Syria,18036435,5,BBC Monitoring European,Malatya,,Kuetahya,Turkey,39.2167,30.3333,2013-01-01
218,19488988,2013-01-01,Media (United States),"Social,Media",United States,Make an appeal or request,20,3.0,Turkey,,Turkey,18036497,6,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-01
294,19489075,2013-01-01,Governor (Turkey),"Provincial,Government,Local",Turkey,Make statement,10,0.0,Turkey,,Turkey,18036761,5,BBC Monitoring European,,,Kilis,Turkey,36.73,37.14,2013-01-01
330,19489111,2013-01-01,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,Make a visit,42,1.9,Turkey,,Turkey,18036798,2,Xinhua News Agency,,,,Turkey,39.9167,32.8333,2013-01-01
331,19489112,2013-01-01,Turkey,,Turkey,Host a visit,43,2.8,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,18036798,2,Xinhua News Agency,,,,Turkey,39.9167,32.8333,2013-01-01
346,19489127,2013-01-01,Turkey,,Turkey,Host a visit,43,2.8,Refugee (Syria),"Social,Refugees / Displaced",Syria,18036839,4,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-01
347,19489128,2013-01-01,Refugee (Syria),"Social,Refugees / Displaced",Syria,Make a visit,42,1.9,Turkey,,Turkey,18036839,4,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-01
381,19489164,2013-01-01,Turkey,,Turkey,Employ aerial weapons,195,-10.0,Turkish Kurds,"International Ethnic,Kurd (Ethnic Group)",Turkey,18036949,6,BBC Monitoring European,Uludere,,Eskisehir,Turkey,39.9167,30.3311,2013-01-01
507,19489300,2013-01-01,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,Make a visit,42,1.9,Turkey,,Turkey,18037283,2,BBC Monitoring Newsfile,,,,Turkey,39.9167,32.8333,2013-01-01
508,19489303,2013-01-01,Turkey,,Turkey,Host a visit,43,2.8,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,18037283,2,BBC Monitoring Newsfile,,,,Turkey,39.9167,32.8333,2013-01-01
509,19489301,2013-01-01,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,Make a visit,42,1.9,Turkey,,Turkey,18037283,6,BBC Monitoring Newsfile,,,,Turkey,39.9167,32.8333,2013-01-01
511,19489304,2013-01-01,Turkey,,Turkey,Host a visit,43,2.8,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,18037283,6,BBC Monitoring Newsfile,,,,Turkey,39.9167,32.8333,2013-01-01
783,19489618,2013-01-01,Turkey,,Turkey,Make an appeal or request,20,3.0,North Atlantic Treaty Organization,"Global Defense / Security IGOs,International Government Organization,Global",,18038133,5,Straits Times,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-01
875,19490161,2013-01-01,Turkey,,Turkey,Engage in negotiation,46,7.0,Kurdistan Workers' Party,"Dissident,International Ethnic,Kurd (Ethnic Group),Separatists",Turkey,18361327,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-01
876,19490162,2013-01-01,Kurdistan Workers' Party,"Dissident,International Ethnic,Kurd (Ethnic Group),Separatists",Turkey,Engage in negotiation,46,7.0,Turkey,,Turkey,18361327,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-01
910,19490284,2013-01-02,Foreign Affairs (Singapore),"Executive,Government,Foreign Ministry",Singapore,Express intent to meet or negotiate,36,4.0,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,18033700,2,Xinhua News Agency,,,,Turkey,39.9167,32.8333,2013-01-02
1060,19490453,2013-01-02,Foreign Affairs (Turkey),"Executive,Foreign Ministry,Government",Turkey,Express intent to meet or negotiate,36,4.0,Turkey,,Turkey,18034047,1,PNA (Philippines News Agency),,,,Turkey,39.9167,32.8333,2013-01-02
1067,19490460,2013-01-02,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,Make a visit,42,1.9,Turkey,,Turkey,18034083,2,PNA (Philippines News Agency),,,,Turkey,39.9167,32.8333,2013-01-02
1068,19490461,2013-01-02,Turkey,,Turkey,Host a visit,43,2.8,Ramin Mehmanparast,"Government,Executive,Foreign Ministry",Iran,18034083,2,PNA (Philippines News Agency),,,,Turkey,39.9167,32.8333,2013-01-02
1202,19490611,2013-01-02,Lawyer/Attorney (Turkey),"Social,Legal",Turkey,Complain officially,114,-2.0,High Ranking Military Personnel (Turkey),"Military,Government",Turkey,18034414,4,BBC Monitoring European,Malatya,,Kuetahya,Turkey,39.2167,30.3333,2013-01-02
1203,19490612,2013-01-02,Lawyer/Attorney (Turkey),"Social,Legal",Turkey,Complain officially,114,-2.0,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,18034414,4,BBC Monitoring European,Malatya,,Kuetahya,Turkey,39.2167,30.3333,2013-01-02
1204,19490615,2013-01-02,Military (Turkey),"Military,Government",Turkey,Host a visit,43,2.8,İdris Naim Şahin,"Executive,Interior / Home Ministry,Government",Turkey,18034415,2,BBC Monitoring European,,,Hakkari,Turkey,37.5833,44.1667,2013-01-02
1205,19490613,2013-01-02,İdris Naim Şahin,"Executive,Interior / Home Ministry,Government",Turkey,Make a visit,42,1.9,Military (Turkey),"Military,Government",Turkey,18034415,2,BBC Monitoring European,,,Hakkari,Turkey,37.5833,44.1667,2013-01-02
1208,19490617,2013-01-02,Syria,,Syria,Criticize or denounce,111,-2.0,Turkey,,Turkey,18034416,6,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-02
1230,19490642,2013-01-02,Ministry (European Union),"Regional,International Government Organization,Regional Diplomatic IGOs",,Make statement,10,0.0,European Union,"Regional,International Government Organization,Regional Diplomatic IGOs",,18034456,6,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-02
1231,19490641,2013-01-02,Ministry (European Union),"Regional,International Government Organization,Regional Diplomatic IGOs",,Make statement,10,0.0,Turkey,,Turkey,18034456,6,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-02
1422,19490847,2013-01-02,Turkey,,Turkey,Host a visit,43,2.8,Hassan Sheikh Mohamud,"Elite,Provincial Party,Executive Office,Government,Parties,Executive",Somalia,18034969,5,All Africa,,,,Turkey,39.9167,32.8333,2013-01-02
1423,19490840,2013-01-02,Hassan Sheikh Mohamud,"Elite,Provincial Party,Executive Office,Government,Parties,Executive",Somalia,Make a visit,42,1.9,Turkey,,Turkey,18034969,5,All Africa,,,,Turkey,39.9167,32.8333,2013-01-02
2001,19492215,2013-01-02,Information / Communication / Transparency Ministry (Turkey),"Information / Communication / Transparency Ministry,Executive,Government",Turkey,Make statement,10,0.0,Police (Turkey),"Government,Police",Turkey,18107002,5,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-02
2002,19492214,2013-01-02,Information / Communication / Transparency Ministry (Turkey),"Information / Communication / Transparency Ministry,Executive,Government",Turkey,Make statement,10,0.0,Military (Turkey),"Military,Government",Turkey,18107002,5,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-02
2432,19493798,2013-01-03,Africa,,,Host a visit,43,2.8,Head of Government (Turkey),"Executive,Executive Office,Government",Turkey,18103227,2,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2433,19493797,2013-01-03,Head of Government (Turkey),"Executive,Executive Office,Government",Turkey,Make a visit,42,1.9,Africa,,,18103227,2,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2434,19493794,2013-01-03,Recep Tayyip Erdoğan,"Center Right,Ideological,Elite,Sunni,Executive,(National) Major Party,Parties,Executive Office,Government,International Religious",Turkey,Express intent to meet or negotiate,36,4.0,Gabon,,Gabon,18103227,4,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2435,19493795,2013-01-03,Recep Tayyip Erdoğan,"Center Right,Ideological,Elite,Sunni,Executive,(National) Major Party,Parties,Executive Office,Government,International Religious",Turkey,Express intent to meet or negotiate,36,4.0,Niger,,Niger,18103227,4,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2436,19493796,2013-01-03,Recep Tayyip Erdoğan,"Center Right,Ideological,Elite,Sunni,Executive,(National) Major Party,Parties,Executive Office,Government,International Religious",Turkey,Express intent to meet or negotiate,36,4.0,Senegal,,Senegal,18103227,4,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2445,19493821,2013-01-03,Turkey,,Turkey,Engage in negotiation,46,7.0,Abdullah Öcalan,"Dissident,Criminals / Gangs",Turkey,18103288,5,Reuters News,,,Diyarbakir,Turkey,37.9615,40.2319,2013-01-03
2446,19493819,2013-01-03,Turkish Kurds,"International Ethnic,Kurd (Ethnic Group)",Turkey,Make statement,10,0.0,Turkey,,Turkey,18103288,5,Reuters News,,,Diyarbakir,Turkey,37.9615,40.2319,2013-01-03
2447,19493820,2013-01-03,Turkish Kurds,"International Ethnic,Kurd (Ethnic Group)",Turkey,Consult,40,1.0,Abdullah Öcalan,"Dissident,Criminals / Gangs",Turkey,18103288,5,Reuters News,,,Diyarbakir,Turkey,37.9615,40.2319,2013-01-03
2448,19493823,2013-01-03,Abdullah Öcalan,"Dissident,Criminals / Gangs",Turkey,Engage in negotiation,46,7.0,Turkey,,Turkey,18103288,5,Reuters News,,,Diyarbakir,Turkey,37.9615,40.2319,2013-01-03
2449,19493822,2013-01-03,Abdullah Öcalan,"Dissident,Criminals / Gangs",Turkey,Consult,40,1.0,Turkish Kurds,"International Ethnic,Kurd (Ethnic Group)",Turkey,18103288,5,Reuters News,,,Diyarbakir,Turkey,37.9615,40.2319,2013-01-03
2466,19493842,2013-01-03,Cemil Çiçek,"Center Right,Ideological,(National) Major Party,Parties,Legislative / Parliamentary,Government,Unicameral",Turkey,Make statement,10,0.0,Political Parties (Turkey),Parties,Turkey,18103332,3,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-03
2475,19493859,2013-01-03,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,Make statement,10,0.0,Turkey,,Turkey,18103362,3,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-03
2507,19493906,2013-01-03,Police (Turkey),"Government,Police",Turkey,"Arrest, detain, or charge with legal action",173,-5.0,Citizen (Turkey),"Social,General Population / Civilian / Social",Turkey,18103479,2,United News of Bangladesh Limited,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-01-03
2508,19493905,2013-01-03,Military (Turkey),"Military,Government",Turkey,Demand change in leadership,1041,-5.0,Necmettin Erbakan,,Turkey,18103479,3,United News of Bangladesh Limited,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2600,19494014,2013-01-03,Abdullah Gül,"Executive,Executive Office,Elite,Government",Turkey,Make statement,10,0.0,Turkey,,Turkey,18103671,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-01-03
2625,19494042,2013-01-03,Lawmaker (Iran),"Government,Legislative / Parliamentary",Iran,Make statement,10,0.0,Government (Turkey),Government,Turkey,18103726,2,BBC Monitoring Middle East,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-01-03
2626,19494044,2013-01-03,Main Opposition (Turkey),"Dissident,Protestors / Popular Opposition / Mobs",Turkey,Make statement,10,0.0,Militant (Saudi Arabia),Unidentified Forces,Saudi Arabia,18103726,6,BBC Monitoring Middle East,,,,Turkey,39.9167,32.8333,2013-01-03
